exp,slug,seed,val_macro_f1,val_mcc,test_macro_f1,test_mcc,xrig_macro_f1,xrig_mcc,heldout_rig,best_epoch,epochs_trained,changed_vs_baseline,note,created_at,git_commit
36,rotation_jitter_5deg,42,0.9638,0.9595,0.9384,0.9323,,,,19,27,rotation_jitter_degrees=5.0,"rotation_jitter_degrees=5.0, sampled from source photo (zero fill)",2026-08-08T20:27:16.835030+00:00,cda7cd25a24c540acfc277efe09cd1a9936e4733
37,baseline_repro_exp20,42,0.9579,0.9533,0.9499,0.9441,,,,14,22,,"baseline reproduction: all augmentation off, verifies Phase 8 refactor is a no-op end-to-end",2026-08-08T21:14:51.465799+00:00,de7589129375ae7b2918ac5582e5d4848ad45d32
38,zoom_scale_min_0.7,42,0.9693,0.9657,0.9213,0.9169,,,,40,48,zoom_scale_min=0.7,"zoom_scale_min=0.7 (RandomResizedCrop area 0.7-1.0, ratio pinned 1.0)",2026-08-08T22:55:42.943303+00:00,65515f8893366f960aa50bf558d778feb03ad782
39,random_erasing_0.5,42,0.9635,0.9597,0.9554,0.9509,,,,29,37,random_erasing_p=0.5,"random_erasing_p=0.5 (scale 0.02-0.15 of area, after Normalize)",2026-08-09T00:12:18.404134+00:00,6501b8daec8de8d8dd9ff9ae8a4d60779a43f73b
40,illum_gradient_0.2,42,0.9439,0.9377,0.9468,0.9412,,,,12,20,illum_gradient_strength=0.2,illum_gradient_strength=0.2 (+/-20% directional luminance ramp),2026-08-09T00:55:12.189490+00:00,0c040202b4a757849eefead9b609dd23075855e6
41,mixup_alpha_0.2,42,0.9517,0.9472,0.9391,0.9320,,,,18,26,mixup_alpha=0.2,"mixup_alpha=0.2 (Beta(0.2,0.2) batch mixing, loss-level)",2026-08-09T01:50:59.111535+00:00,6a4a6302986246a6c2f9f41e144bd5d95c03cddd
42,random_erasing_seed123,123,0.9917,0.9907,0.9098,0.9018,,,,18,26,random_erasing_p=0.5; seed=123,"random_erasing_p=0.5, seed=123 (multi-seed check)",2026-08-09T02:46:05.320594+00:00,5e9646a455b2ba15fac025fac57ceb1f43a2bd19
43,random_erasing_seed7,7,0.9749,0.9720,0.9553,0.9503,,,,30,38,random_erasing_p=0.5; seed=7,"random_erasing_p=0.5, seed=7 (multi-seed check)",2026-08-09T04:03:32.657264+00:00,5e9646a455b2ba15fac025fac57ceb1f43a2bd19
44,random_erasing_0.75,42,0.9609,0.9565,0.9694,0.9658,,,,14,22,random_erasing_p=0.75,random_erasing_p=0.75 (bracket the adopted 0.5),2026-08-09T04:50:33.794572+00:00,629a8d20d44d28a199e343998d6c676f4658cb5d
45,random_erasing_0.75_seed123,123,0.9888,0.9876,0.8976,0.8898,,,,25,33,random_erasing_p=0.75; seed=123,"random_erasing_p=0.75, seed=123 (pairs against exp 42)",2026-08-09T05:59:08.139782+00:00,629a8d20d44d28a199e343998d6c676f4658cb5d
46,phase9_crop_stage_acceptance,42,0.9635,0.9597,0.9554,0.9509,,,,29,37,random_erasing_p=0.5,Phase 9 acceptance: crop as a pipeline stage; must reproduce exp 39 exactly,2026-08-09T11:09:30.891105+00:00,b064068bf8673d968c2d212ad31842d988617b8b
47,asym_trim_patch900,42,0.9581,0.9537,0.9554,0.9503,,,,31,39,random_erasing_p=0.5,"asymmetric per-side crop trim (valid region 1016->1067px), patch_crop_size=900",2026-08-09T13:28:52.061692+00:00,2a0abbd044e91849603f960ddc7ab9dbf0ecbf95
48,lorio_baseline_heldout_box_pictures_all_classes,42,0.8616,0.8441,0.8657,0.8488,0.1734,0.2617,2026-08-07__box_pictures_all_classes,18,26,random_erasing_p=0.5,"leave-one-rig-out, arm=baseline, held out 2026-08-07__box_pictures_all_classes; scale_frac=0.0-0.0",2026-08-10T04:13:27.942906+00:00,622f4f952fd415435e29b2cb53dc89e3a8e21066
49,lorio_baseline_heldout_pixel_cam,42,0.8818,0.8675,0.8937,0.8802,0.5579,0.5575,2026-08-09__pixel_cam,18,26,random_erasing_p=0.5,"leave-one-rig-out, arm=baseline, held out 2026-08-09__pixel_cam; scale_frac=0.0-0.0",2026-08-10T05:35:12.142486+00:00,622f4f952fd415435e29b2cb53dc89e3a8e21066
